,County Name,State,date,confirmed,deaths,population
116893,Lassen County,CA,2021-08-16,17931.0,19.0,30573
114028,Imperial County,CA,2021-08-16,16393.0,746.0,181215
115747,Kings County,CA,2021-08-16,16172.0,253.0,152940
127207,San Bernardino County,CA,2021-08-16,14361.0,5256.0,2180085
117466,Los Angeles County,CA,2021-08-16,12976.0,24916.0,10039107
125488,Riverside County,CA,2021-08-16,12713.0,4548.0,2470546
120331,Merced County,CA,2021-08-16,11993.0,478.0,277680
115174,Kern County,CA,2021-08-16,11388.0,1363.0,900202
118039,Madera County,CA,2021-08-16,11258.0,245.0,157327
135229,Stanislaus County,CA,2021-08-16,11219.0,1036.0,550660
135802,Sutter County,CA,2021-08-16,11197.0,130.0,96971
137521,Tulare County,CA,2021-08-16,11164.0,856.0,466195
112309,Fresno County,CA,2021-08-16,10948.0,1752.0,999101
108298,Amador County,CA,2021-08-16,10641.0,49.0,39752
128926,San Joaquin County,CA,2021-08-16,10605.0,1487.0,762148
122050,Monterey County,CA,2021-08-16,10267.0,527.0,434061
126634,San Benito County,CA,2021-08-16,10260.0,60.0,62808
138667,Ventura County,CA,2021-08-16,10259.0,1040.0,846006
110017,Colusa County,CA,2021-08-16,9927.0,16.0,21547
127780,San Diego County,CA,2021-08-16,9413.0,3824.0,3338330
121477,Mono County,CA,2021-08-16,9236.0,3.0,14444
139813,Yuba County,CA,2021-08-16,9232.0,49.0,78668
112882,Glenn County,CA,2021-08-16,9129.0,19.0,28393
138094,Tuolumne County,CA,2021-08-16,9057.0,59.0,54478
123769,Orange County,CA,2021-08-16,8674.0,5161.0,3175692
136375,Tehama County,CA,2021-08-16,8527.0,66.0,65084
130645,Santa Barbara County,CA,2021-08-16,8349.0,474.0,446499
134083,Solano County,CA,2021-08-16,8335.0,260.0,447643
129499,San Luis Obispo County,CA,2021-08-16,8262.0,265.0,283111
114601,Inyo County,CA,2021-08-16,8254.0,39.0,18039
107725,Alpine County,CA,2021-08-16,8060.0,0.0,1129
126061,Sacramento County,CA,2021-08-16,7984.0,1759.0,1552058
122623,Napa County,CA,2021-08-16,7926.0,82.0,137744
132364,Shasta County,CA,2021-08-16,7683.0,211.0,180080
116320,Lake County,CA,2021-08-16,7589.0,68.0,64386
111163,Del Norte County,CA,2021-08-16,7407.0,7.0,27812
139240,Yolo County,CA,2021-08-16,7199.0,225.0,220500
110590,Contra Costa County,CA,2021-08-16,7089.0,847.0,1153526
134656,Sonoma County,CA,2021-08-16,7019.0,333.0,494336
124342,Placer County,CA,2021-08-16,6834.0,306.0,398329
131218,Santa Clara County,CA,2021-08-16,6624.0,1761.0,1927852
108871,Butte County,CA,2021-08-16,6507.0,205.0,219186
123196,Nevada County,CA,2021-08-16,6497.0,74.0,99755
131791,Santa Cruz County,CA,2021-08-16,6383.0,209.0,273213
111736,El Dorado County,CA,2021-08-16,6252.0,118.0,192843
130072,San Mateo County,CA,2021-08-16,6117.0,540.0,766573
107152,Alameda County,CA,2021-08-16,6082.0,1287.0,1671329
118612,Marin County,CA,2021-08-16,5972.0,239.0,258826
119758,Mendocino County,CA,2021-08-16,5789.0,49.0,86749
109444,Calaveras County,CA,2021-08-16,5662.0,57.0,45905
128353,San Francisco County,CA,2021-08-16,5051.0,567.0,881549
133510,Siskiyou County,CA,2021-08-16,4982.0,33.0,43539
120904,Modoc County,CA,2021-08-16,4762.0,5.0,8841
124915,Plumas County,CA,2021-08-16,4520.0,5.0,18807
113455,Humboldt County,CA,2021-08-16,4442.0,51.0,135558
119185,Mariposa County,CA,2021-08-16,3435.0,3.0,17203
136948,Trinity County,CA,2021-08-16,3256.0,3.0,12285
132937,Sierra County,CA,2021-08-16,2729.0,0.0,3005
