Date,new_cases,new_death_cases,num_of_days
1/23/2020,0,0,1
1/24/2020,0,0,2
1/25/2020,0,0,3
1/26/2020,0,0,4
1/27/2020,0,0,5
1/28/2020,0,0,6
1/29/2020,0,0,7
1/30/2020,0,0,8
1/31/2020,0,0,9
2/1/2020,0,0,10
2/2/2020,0,0,11
2/3/2020,0,0,12
2/4/2020,0,0,13
2/5/2020,0,0,14
2/6/2020,0,0,15
2/7/2020,0,0,16
2/8/2020,0,0,17
2/9/2020,0,0,18
2/10/2020,0,0,19
2/11/2020,0,0,20
2/12/2020,0,0,21
2/13/2020,0,0,22
2/14/2020,0,0,23
2/15/2020,0,0,24
2/16/2020,0,0,25
2/17/2020,0,0,26
2/18/2020,0,0,27
2/19/2020,0,0,28
2/20/2020,0,0,29
2/21/2020,0,0,30
2/22/2020,0,0,31
2/23/2020,0,0,32
2/24/2020,0,0,33
2/25/2020,0,0,34
2/26/2020,0,0,35
2/27/2020,0,0,36
2/28/2020,0,0,37
2/29/2020,0,0,38
3/1/2020,0,0,39
3/2/2020,0,0,40
3/3/2020,1,0,41
3/4/2020,0,0,42
3/5/2020,0,0,43
3/6/2020,1,0,44
3/7/2020,0,0,45
3/8/2020,0,0,46
3/9/2020,5,0,47
3/10/2020,1,0,48
3/11/2020,8,0,49
3/12/2020,0,0,50
3/13/2020,1,0,51
3/14/2020,15,0,52
3/15/2020,1,0,53
3/16/2020,7,0,54
3/17/2020,0,0,55
3/18/2020,22,0,56
3/19/2020,74,0,57
3/20/2020,0,0,58
3/21/2020,46,0,59
3/22/2020,68,0,60
3/23/2020,36,0,61
3/24/2020,102,0,62
3/25/2020,103,1,63
3/26/2020,131,0,64
3/27/2020,141,2,65
3/28/2020,166,1,66
3/29/2020,234,0,67
3/30/2020,139,2,68
3/31/2020,189,2,69
4/1/2020,89,2,70
4/2/2020,275,6,71
4/3/2020,238,3,72
4/4/2020,309,5,73
4/5/2020,183,7,74
4/6/2020,285,2,75
4/7/2020,349,12,76
4/8/2020,205,7,77
4/9/2020,226,11,78
4/10/2020,256,10,79
4/11/2020,394,6,80
4/12/2020,214,1,81
4/13/2020,261,0,82
4/14/2020,210,27,83
4/15/2020,111,8,84
4/16/2020,275,15,85
4/17/2020,479,21,86
4/18/2020,266,12,87
4/19/2020,324,7,88
4/20/2020,237,8,89
4/21/2020,163,33,90
4/22/2020,231,29,91
4/23/2020,306,12,92
4/24/2020,402,16,93
4/25/2020,450,20,94
4/26/2020,248,10,95
4/27/2020,198,7,96
4/28/2020,499,35,97
4/29/2020,338,13,98
4/30/2020,500,24,99
5/1/2020,905,21,100
5/2/2020,584,21,101
5/3/2020,160,2,102
5/4/2020,179,7,103
5/5/2020,410,22,104
5/6/2020,503,25,105
5/7/2020,634,30,106
5/8/2020,476,20,107
5/9/2020,492,17,108
5/10/2020,399,3,109
5/11/2020,279,3,110
5/12/2020,308,26,111
5/13/2020,472,20,112
5/14/2020,689,16,113
5/15/2020,625,26,114
5/16/2020,847,11,115
5/17/2020,535,7,116
5/18/2020,507,2,117
5/19/2020,680,30,118
5/20/2020,425,11,119
5/21/2020,733,14,120
5/22/2020,758,11,121
5/23/2020,1102,9,122
5/24/2020,495,7,123
5/25/2020,721,10,124
5/26/2020,182,12,125
5/27/2020,511,29,126
5/28/2020,785,0,127
5/29/2020,1078,65,128
5/30/2020,1182,21,129
5/31/2020,0,0,130
6/1/2020,1582,21,131
6/2/2020,623,23,132
6/3/2020,894,18,133
6/4/2020,1082,19,134
6/5/2020,1189,7,135
6/6/2020,1573,27,136
6/7/2020,917,4,137
6/8/2020,827,11,138
6/9/2020,733,24,139
6/10/2020,877,17,140
6/11/2020,1305,17,141
6/12/2020,1823,28,142
6/13/2020,1570,13,143
6/14/2020,1445,5,144
6/15/2020,864,9,145
6/16/2020,782,35,146
6/17/2020,944,14,147
6/18/2020,1357,8,148
6/19/2020,1621,22,149
6/20/2020,1712,15,150
6/21/2020,1403,8,151
6/22/2020,802,3,152
6/23/2020,849,28,153
6/24/2020,1469,20,154
6/25/2020,1215,19,155
6/26/2020,1686,2,156
6/27/2020,1706,26,157
6/28/2020,1623,4,158
6/29/2020,1343,3,159
6/30/2020,1183,18,160
