Dates,new_death_cases,new_cases
1/23/2020,0,0
1/24/2020,0,1
1/25/2020,0,0
1/26/2020,0,3
1/27/2020,0,1
1/28/2020,0,0
1/29/2020,0,1
1/30/2020,0,0
1/31/2020,0,1
2/1/2020,0,1
2/2/2020,0,0
2/3/2020,0,2
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,1,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,1
2/12/2020,0,0
2/13/2020,0,1
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,1,0
2/18/2020,0,1
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,3
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,1
2/25/2020,0,0
2/26/2020,0,2
2/27/2020,0,1
2/28/2020,0,2
2/29/2020,1,11
3/1/2020,0,6
3/2/2020,5,22
3/3/2020,1,19
3/4/2020,4,35
3/5/2020,1,66
3/6/2020,5,49
3/7/2020,3,124
3/8/2020,3,116
3/9/2020,6,259
3/10/2020,3,275
3/11/2020,6,229
3/12/2020,4,387
3/13/2020,7,529
3/14/2020,9,733
3/15/2020,7,566
3/16/2020,25,909
3/17/2020,13,1775
3/18/2020,31,2755
3/19/2020,40,4864
3/20/2020,38,4886
3/21/2020,53,7152
3/22/2020,107,7135
3/23/2020,139,9807
3/24/2020,191,9933
3/25/2020,247,14189
3/26/2020,255,16124
3/27/2020,359,16443
3/28/2020,518,19644
3/29/2020,267,17667
3/30/2020,448,20924
3/31/2020,722,23287
4/1/2020,974,24586
4/2/2020,921,28312
4/3/2020,1026,35550
4/4/2020,1320,33256
4/5/2020,1435,25696
4/6/2020,1245,29917
4/7/2020,1973,31684
4/8/2020,1918,33012
4/9/2020,1790,33572
4/10/2020,2273,33426
4/11/2020,1704,30597
4/12/2020,1578,26835
4/13/2020,569,24633
4/14/2020,4528,25878
4/15/2020,2378,30276
4/16/2020,2231,32584
4/17/2020,1842,30912
4/18/2020,1629,27676
4/19/2020,2514,25589
4/20/2020,1779,26358
4/21/2020,2683,25254
4/22/2020,2019,28606
4/23/2020,1846,31299
4/24/2020,2786,37256
4/25/2020,2101,33632
4/26/2020,1170,25280
4/27/2020,1368,22863
4/28/2020,2150,24227
4/29/2020,2958,27875
4/30/2020,2128,28895
5/1/2020,1846,33441
5/2/2020,1765,29599
5/3/2020,1229,24563
5/4/2020,976,21850
5/5/2020,2478,23427
5/6/2020,2768,24281
5/7/2020,2099,27221
5/8/2020,1732,27034
5/9/2020,1597,25394
5/10/2020,965,19369
5/11/2020,987,19219
5/12/2020,1637,21288
5/13/2020,1778,21028
5/14/2020,1858,26424
5/15/2020,1529,24635
5/16/2020,1284,24121
5/17/2020,822,17920
5/18/2020,1027,20933
5/19/2020,1505,20599
5/20/2020,1581,22543
5/21/2020,1322,25542
5/22/2020,1340,23599
5/23/2020,1113,21836
5/24/2020,627,20288
5/25/2020,622,19464
5/26/2020,660,17832
5/27/2020,1358,18459
5/28/2020,1184,22451
5/29/2020,1319,24819
5/30/2020,843,22515
5/31/2020,589,19461
6/1/2020,700,21281
6/2/2020,1272,19333
6/3/2020,986,19633
6/4/2020,988,21813
6/5/2020,1105,28078
6/6/2020,796,22901
6/7/2020,420,17886
6/8/2020,548,17757
6/9/2020,950,18546
6/10/2020,910,20464
6/11/2020,894,22264
6/12/2020,761,25635
6/13/2020,731,25135
6/14/2020,327,20081
6/15/2020,409,18723
6/16/2020,752,25048
6/17/2020,783,24140
6/18/2020,768,27305
6/19/2020,794,31192
6/20/2020,563,30495
6/21/2020,269,27099
6/22/2020,351,29844
6/23/2020,827,35018
6/24/2020,749,35227
6/25/2020,620,38516
6/26/2020,634,45921
6/27/2020,2396,41631
6/28/2020,267,37713
6/29/2020,351,39337
6/30/2020,1268,47338
7/1/2020,676,48811
7/2/2020,668,54244
7/3/2020,604,54339
7/4/2020,235,45032
7/5/2020,223,40835
7/6/2020,395,54259
7/7/2020,1184,54938
7/8/2020,840,56925
7/9/2020,984,62298
7/10/2020,825,69282
7/11/2020,693,60597
7/12/2020,424,57370
7/13/2020,346,56453
7/14/2020,884,68020
7/15/2020,946,65736
7/16/2020,910,75969
7/17/2020,892,68406
7/18/2020,908,65107
7/19/2020,440,59205
7/20/2020,411,56873
7/21/2020,1123,66811
7/22/2020,1088,67015
7/23/2020,1089,68177
7/24/2020,1113,72794
7/25/2020,920,64832
7/26/2020,520,55936
7/27/2020,1115,55651
7/28/2020,1285,62788
7/29/2020,1608,76778
7/30/2020,924,58739
7/31/2020,1462,66875
8/1/2020,1123,59434
8/2/2020,374,35247
8/3/2020,596,56980
8/4/2020,1324,52395
8/5/2020,1245,53446
8/6/2020,1184,56297
8/7/2020,1312,60163
8/8/2020,972,53743
8/9/2020,755,46600
8/10/2020,460,42427
8/11/2020,1412,56595
8/12/2020,1434,52933
8/13/2020,1182,51614
8/14/2020,1170,57415
8/15/2020,1098,50216
8/16/2020,541,37632
8/17/2020,485,40599
8/18/2020,1236,41395
8/19/2020,1409,45070
8/20/2020,1132,43415
8/21/2020,1130,49863
8/22/2020,1014,44464
8/23/2020,445,32341
8/24/2020,443,37180
8/25/2020,1186,38221
8/26/2020,1408,46003
8/27/2020,1104,45780
8/28/2020,996,44975
8/29/2020,1087,43201
8/30/2020,272,32981
8/31/2020,469,35748
9/1/2020,1070,43035
9/2/2020,1030,40025
9/3/2020,1056,42101
9/4/2020,940,49295
9/5/2020,866,44364
9/6/2020,383,29763
9/7/2020,245,26259
9/8/2020,375,24217
9/9/2020,1183,34272
9/10/2020,1047,36711
9/11/2020,1090,46276
9/12/2020,692,38496
9/13/2020,374,33742
9/14/2020,425,34886
9/15/2020,1066,34363
9/16/2020,1138,47567
9/17/2020,854,43793
9/18/2020,902,48081
9/19/2020,694,43163
9/20/2020,272,34434
9/21/2020,309,37992
9/22/2020,932,48903
9/23/2020,1111,39059
9/24/2020,908,45713
9/25/2020,911,54738
9/26/2020,687,42249
9/27/2020,289,37927
9/28/2020,319,32413
9/29/2020,844,37100
9/30/2020,992,44746
10/1/2020,836,46647
10/2/2020,839,48362
10/3/2020,727,51933
10/4/2020,300,35538
10/5/2020,343,37213
10/6/2020,687,40849
10/7/2020,930,49846
10/8/2020,921,57787
10/9/2020,902,57020
10/10/2020,777,57597
10/11/2020,323,38161
10/12/2020,276,42834
10/13/2020,756,50530
10/14/2020,670,59111
10/15/2020,1152,66709
10/16/2020,833,63802
10/17/2020,635,59941
10/18/2020,337,45651
10/19/2020,551,58082
10/20/2020,869,60158
10/21/2020,1072,60482
10/22/2020,984,79224
10/23/2020,900,82841
10/24/2020,653,53241
10/25/2020,456,78802
10/26/2020,614,69648
10/27/2020,939,71007
10/28/2020,903,78217
10/29/2020,1004,88816
10/30/2020,948,96259
10/31/2020,746,73348
11/1/2020,404,82784
11/2/2020,538,85615
11/3/2020,1277,91783
11/4/2020,1124,107423
11/5/2020,1120,117640
11/6/2020,1093,132259
11/7/2020,898,112588
11/8/2020,437,103660
11/9/2020,901,126565
11/10/2020,1309,139762
11/11/2020,1475,146329
11/12/2020,787,144437
11/13/2020,1506,180137
11/14/2020,1197,161188
11/15/2020,591,133246
11/16/2020,742,153282
11/17/2020,1415,143527
11/18/2020,1794,161402
11/19/2020,2234,191572
11/20/2020,1575,173111
11/21/2020,988,197525
11/22/2020,1369,136635
11/23/2020,1374,178437
11/24/2020,1940,171163
11/25/2020,2165,177671
11/26/2020,1229,116520
11/27/2020,1160,179891
11/28/2020,1264,173076
11/29/2020,736,116520
11/30/2020,1408,155148
12/1/2020,2277,183687
12/2/2020,2604,200070
12/3/2020,2686,207335
12/4/2020,2469,219562
12/5/2020,2199,205339
12/6/2020,1071,159708
12/7/2020,1425,198386
12/8/2020,2304,220805
12/9/2020,3181,224354
12/10/2020,2759,211494
12/11/2020,3274,234502
12/12/2020,2221,204143
12/13/2020,1403,168947
12/14/2020,1691,203727
12/15/2020,2791,192673
12/16/2020,3299,225985
12/17/2020,3376,238458
12/18/2020,2387,231286
12/19/2020,2283,183939
12/20/2020,1405,162459
12/21/2020,1298,362667
12/22/2020,3459,174503
12/23/2020,2686,227200
12/24/2020,3206,185122
12/25/2020,784,49223
12/26/2020,1022,170262
12/27/2020,1147,121643
12/28/2020,2756,216179
12/29/2020,3325,229421
12/30/2020,3301,238917
12/31/2020,3434,222938
1/1/2021,2752,190655
1/2/2021,2704,283820
1/3/2021,1658,229336
1/4/2021,1570,169859
1/5/2021,3515,238758
1/6/2021,3903,256350
1/7/2021,3938,262206
1/8/2021,3120,273898
1/9/2021,3249,269324
1/10/2021,2422,220512
1/11/2021,1803,197286
1/12/2021,4034,210323
1/13/2021,3963,217685
1/14/2021,3938,245336
1/15/2021,3502,235554
1/16/2021,3599,210407
1/17/2021,2003,178811
1/18/2021,1405,155045
1/19/2021,2063,149151
1/20/2021,4383,191404
1/21/2021,4108,192346
1/22/2021,3914,181760
1/23/2021,3342,170281
1/24/2021,1855,137597
1/25/2021,1706,135972
1/26/2021,3450,142077
1/27/2021,4121,154607
1/28/2021,3881,152443
1/29/2021,3615,164137
1/30/2021,2926,151276
1/31/2021,2049,116213
2/1/2021,1580,121388
2/2/2021,3327,113246
2/3/2021,3680,116920
2/4/2021,5222,121307
2/5/2021,3286,131286
2/6/2021,2838,98251
2/7/2021,1648,105621
2/8/2021,1276,76839
2/9/2021,2814,93552
2/10/2021,3307,96923
2/11/2021,4010,105697
2/12/2021,5370,96847
2/13/2021,3231,91613
2/14/2021,1450,69960
2/15/2021,1045,54922
2/16/2021,1370,61064
2/17/2021,2289,66727
2/18/2021,2618,64518
2/19/2021,3500,73158
2/20/2021,1989,71895
2/21/2021,1260,57460
2/22/2021,1221,48980
2/23/2021,1998,62313
2/24/2021,2840,75588
2/25/2021,3142,73392
2/26/2021,2110,61779
2/27/2021,1820,85296
2/28/2021,1056,49952
3/1/2021,1333,77972
3/2/2021,1941,54280
3/3/2021,2672,67159
3/4/2021,1857,63422
3/5/2021,1638,64243
3/6/2021,1402,52834
3/7/2021,700,40581
3/8/2021,789,43604
3/9/2021,2279,53307
3/10/2021,1585,56144
3/11/2021,1472,55880
3/12/2021,1577,55694
3/13/2021,1395,55609
3/14/2021,405,32396
3/15/2021,746,58074
3/16/2021,1259,54378
3/17/2021,1186,56762
3/18/2021,1632,54744
3/19/2021,1342,55552
3/20/2021,592,45652
3/21/2021,972,36800
3/22/2021,492,46001
3/23/2021,1021,52763
3/24/2021,1287,98168
3/25/2021,1182,60837
3/26/2021,1167,71093
3/27/2021,720,53993
3/28/2021,367,50916
3/29/2021,465,55354
3/30/2021,703,54274
3/31/2021,945,72718
4/1/2021,5200,167471
4/2/2021,917,66618
4/3/2021,720,63722
4/4/2021,562,35651
4/5/2021,145,69295
4/6/2021,2649,70379
4/7/2021,779,75146
4/8/2021,936,76665
4/9/2021,1468,80185
4/10/2021,669,66119
4/11/2021,283,41467
4/12/2021,633,67607
4/13/2021,753,73889
4/14/2021,787,76855
4/15/2021,999,72961
4/16/2021,871,65229
4/17/2021,799,66214
4/18/2021,360,43107
