,DEM_votes,REP_votes,State
0,849648,1441168,AL
1,153405,189892,AK
2,1672143,1661686,AZ
3,423932,760647,AR
4,11109764,6005961,CA
5,1804352,1364607,CO
6,1080680,715291,CT
7,296268,200603,DE
8,317323,18586,DC
9,5297045,5668731,FL
10,2473633,2461854,GA
11,366130,196864,HI
12,287021,554119,ID
13,4253153,2823926,IL
14,1242495,1729852,IN
15,759061,897672,IA
16,558669,758100,KS
17,772474,1326646,KY
18,856034,1255776,LA
19,430473,359899,ME
20,1985023,976414,MD
21,2382202,1167202,MA
22,2804040,2649852,MI
23,1717077,1484065,MN
24,539398,756764,MS
25,1253014,1718736,MO
26,244786,343602,MT
27,374583,556846,NE
28,703486,669890,NV
29,424921,365654,NH
30,2608335,1883274,NJ
31,501614,401894,NM
32,5244006,3250230,NY
33,2684292,2758773,NC
34,114902,235595,ND
35,2679165,3154834,OH
36,503890,1020280,OK
37,1340383,958448,OR
38,3459923,3378263,PA
39,306210,199837,RI
40,1091541,1385103,SC
41,150471,261043,SD
42,1143913,1852948,TN
43,5259126,5890347,TX
44,560282,865140,UT
45,242820,112704,VT
46,2413568,1962430,VA
47,2369612,1584651,WA
48,235984,545382,WV
49,1630673,1610065,WI
50,73491,193559,WY
