,State,high_cases,high_deaths,total_votes,population
0,AK,3582738.0,194963.0,359530,731545
1,AL,8567426.0,1978552.0,2323304,4903185
2,AR,10407346.0,1933688.0,1219069,3017804
3,AZ,2021701.0,493892.0,3387326,7278717
4,CA,5122738.0,697540.0,17495906,39512223
5,CO,6746807.0,973888.0,3256953,5758736
6,CT,742607.0,162471.0,1824280,3565287
7,DC,74799.0,16326.0,344356,705749
8,DE,346675.0,61013.0,504010,973764
9,FL,8771846.0,1366258.0,11067456,21477737
10,GA,14308982.0,4822792.0,4997716,10617423
11,HI,118503.0,11472.0,574469,1415872
12,IA,12253256.0,2563988.0,1690871,3155070
13,ID,4528317.0,563562.0,868106,1787065
14,IL,12920535.0,2548003.0,6038843,12671821
15,IN,10947259.0,2069844.0,3033198,6732219
16,KS,13083404.0,2968029.0,1375304,2913314
17,KY,13898754.0,2342185.0,2136768,4467673
18,LA,8991107.0,1890253.0,2148062,4648794
19,MA,1330772.0,316085.0,3631402,6892503
20,MD,1838914.0,397930.0,3037030,6045680
21,ME,745778.0,96637.0,819461,1344212
22,MI,7691222.0,1672043.0,5539302,9986857
23,MN,10100588.0,1370353.0,3277171,5639632
24,MO,14200750.0,2125719.0,3025962,6137428
25,MS,11118686.0,2751227.0,1315182,2976149
26,MT,6002962.0,1268353.0,605750,1068778
27,NC,10971533.0,1699954.0,5524801,10488084
28,ND,7275122.0,1390070.0,361819,762062
29,NE,9141083.0,1412103.0,956379,1934408
30,NH,661314.0,87770.0,804430,1359711
31,NJ,2431461.0,590408.0,4564234,8882190
32,NM,3092727.0,789928.0,923965,2096829
33,NV,1431744.0,232168.0,1405376,3080156
34,NY,5370953.0,1010040.0,8613546,19453561
35,OH,8616433.0,1822326.0,5922202,11689100
36,OK,10031675.0,1716195.0,1560699,3956971
37,OR,2286512.0,332695.0,2374321,4217737
38,PA,6580413.0,1537923.0,6925255,12801989
39,RI,559795.0,103364.0,517757,1059361
40,SC,5875797.0,1133080.0,2513329,5148714
41,SD,9325963.0,2053113.0,422609,884659
42,TN,13545259.0,2301910.0,3054534,6829174
43,TX,37575067.0,7295290.0,11317911,28995881
44,UT,3133741.0,242010.0,1488289,3205958
45,VA,12182882.0,2563095.0,4460524,8535519
46,VT,564097.0,48348.0,367428,623989
47,WA,2766032.0,381472.0,4087631,7614893
48,WI,9525000.0,1042436.0,3297352,5822434
49,WV,5647563.0,944566.0,794652,1792147
50,WY,2607509.0,327358.0,276765,578759
