Date,new_cases,new_death_cases
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,6,1
2020-03-01,4,0
2020-03-02,7,5
2020-03-03,9,1
2020-03-04,12,3
2020-03-05,31,1
2020-03-06,8,2
2020-03-07,24,3
2020-03-08,20,3
2020-03-09,40,4
2020-03-10,103,1
2020-03-11,64,5
2020-03-12,82,2
2020-03-13,90,6
2020-03-14,102,3
2020-03-15,62,2
2020-03-16,115,6
2020-03-17,156,4
2020-03-18,84,14
2020-03-19,205,8
2020-03-20,166,9
2020-03-21,252,10
2020-03-22,188,1
2020-03-23,273,15
2020-03-24,286,13
2020-03-25,191,6
2020-03-26,556,14
2020-03-27,576,25
2020-03-28,416,17
2020-03-29,380,10
2020-03-30,518,23
2020-03-31,248,4
2020-04-01,317,30
2020-04-02,306,13
2020-04-03,213,23
2020-04-04,328,22
2020-04-05,560,29
2020-04-06,318,34
2020-04-07,449,22
2020-04-08,490,26
2020-04-09,441,26
2020-04-10,339,28
2020-04-11,422,17
2020-04-12,333,17
2020-04-13,261,0
2020-04-14,256,33
2020-04-15,194,26
2020-04-16,312,16
2020-04-17,186,20
2020-04-18,364,21
2020-04-19,266,10
2020-04-20,303,18
2020-04-21,225,29
2020-04-22,203,11
2020-04-23,257,18
2020-04-24,259,12
2020-04-25,302,15
2020-04-26,218,12
2020-04-27,186,15
2020-04-28,179,21
2020-04-29,232,15
2020-04-30,272,13
2020-05-01,291,9
2020-05-02,344,7
2020-05-03,217,4
2020-05-04,289,7
2020-05-05,149,21
2020-05-06,287,8
2020-05-07,334,21
2020-05-08,141,14
2020-05-09,298,16
2020-05-10,234,10
2020-05-11,232,14
2020-05-12,187,17
2020-05-13,167,12
2020-05-14,225,9
2020-05-15,164,8
2020-05-16,350,8
2020-05-17,155,2
2020-05-18,224,1
2020-05-19,202,29
2020-05-20,165,6
